Park Name,Type of Unit,State,Reg,Alpha,Unit,index site,Alert title list,Alert description,Alert full description,Number of alerts,Number of alerts with description,Road Closure Alert Flag
Kenai Fjords,National Park,AK,AKR,KEFJ,1.0,https://www.nps.gov/KEFJ/planyourvisit/conditions.htm,"['Danger', 'Park Closure', 'Information']","['Canyon from Toe of Exit Glacier to the Outwash Plain', 'Abandoned Mines Hazard', 'Toe of Exit Glacier, Ice Fall Hazard Zone', 'Road to Exit Glacier CLOSED to automobiles for the winter', 'Exit Glacier Developed Area OPEN to Snowmachine use for 2023/24 season']","['The canyon from the toe of Exit Glacier to where Exit Creek opens into the Outwash Plain is susceptible to sudden outburst flood events. These events produce sudden surges of water, ice and rock. The canyon is dangerous and travel is not recommended.', 'Abandoned mines exist on park lands. Explosives, mine openings, unsafe structures and toxic chemicals may be present. Visitors should use extreme caution and avoid abandoned mineral properties.', 'An ice fall hazard zone has been identified at the toe and sides of Exit Glacier, due to tall blocks and slabs of ice. For your safety, entry into this zone is prohibited. Please do not continue past ice fall hazard signs and see photo for more details.', 'Date Posted: 10/23/2023', 'Date Posted: 12/18/2023']",3,5,1
Kennesaw Mountain,National Battlefield Park,GA,SER,KEMO,1.0,https://www.nps.gov/KEMO/planyourvisit/conditions.htm,[],[],[],0,0,0
Keweenaw,National Historical Park,MI,MWR,KEWE,1.0,https://www.nps.gov/KEWE/planyourvisit/conditions.htm,[],[],[],0,0,0
Kings Canyon National Park,Kings Canyon National Park,CA,PW,KICA,,https://www.nps.gov/KICA/planyourvisit/conditions.htm,[],[],[],0,0,0
Kings Mountain,National Military Park,SC,SER,KIMO,1.0,https://www.nps.gov/KIMO/planyourvisit/conditions.htm,['Information'],"['Kings Mountain National Military Park Closed Monday, January, 15, 2023', 'Visitor Center and Museum Operating Hours']","['All areas within Kings Mountain NMP will be closed on Monday, January 15, 2023 for the Federal Holiday.  This includes the visitor center, trails, restrooms and parking lot.  The park grounds will re-open on Tuesday, January 16, 2023. ', 'Kings Mountain NMP Visitor Center hours are Wednesday through Sunday from 9 a.m. to 5 p.m. Public restrooms and park grounds are open 7 days per week 9 a.m. to 5 p.m. daily.']",1,2,0
Klondike Gold Rush,National Historical Park,AK,AKR,KLGO,1.0,https://www.nps.gov/KLGO/planyourvisit/conditions.htm,"['Park Closure', '']",['U.S. side of Chilkoot National Historic Trail to Open as far as Mile 4 for the 2024 Season'],['No public access on the U.S. side of the Chilkoot Trail past mile 4.0 on the Chilkoot Trail for the 2024 season. Permitted overnight camping is only for the Canadian side of the Trail – the Reservation Line will be open starting March 27 (1-800-661-0486).'],2,1,0
Knife River Indian Villages,National Historic Site,ND,MWR,KNRI,1.0,https://www.nps.gov/KNRI/planyourvisit/conditions.htm,"['Information', '']",['Closure: Portion of the Village Trail'],['The river bank section of trail near the Sakakawea Village is closed due to ongoing erosion until further notice. The village site itself remains accessible by hiking from the visitor center.'],2,1,0
Kobuk Valley,National Park,AK,AKR,KOVA,1.0,https://www.nps.gov/KOVA/planyourvisit/conditions.htm,[],[],[],0,0,0
Korean War Veterans,Memorial,DC,NCR,KOWA,1.0,https://www.nps.gov/KOWA/planyourvisit/conditions.htm,[],[],[],0,0,0
Lava Beds,National Monument,CA,PWR,LABE,1.0,https://www.nps.gov/LABE/planyourvisit/conditions.htm,"['Information', 'VAN BREMMER']",['White-Nose Syndrome / Cave Permit'],"['Please Do Not bring clothing or caving gear used in caves or mines outside of Lava Beds into our caves. This will help slow the spread of white-nose syndrome, a bat disease that is killing bats outside of the park.']",2,1,0
Lake Chelan,National Recreation Area,WA,PWR,LACH,1.0,https://www.nps.gov/LACH/planyourvisit/conditions.htm,"['Park Closure', 'Caution']","['State Route 20 Closed for the Winter', 'Cascade River Road Closed for the Winter Season ', 'Fire Closures - Trail, Area, and Camp Closures ', 'Be Aware of Break-ins along State Route 20', 'Diablo Lake Boat Launch Inaccessible to Powerboats']","['State Route 20 is closed at milepost 134 (Ross Dam Trailhead) for the season. Visitors can access the closed portion of the highway during the winter season. Park in designated parking areas, do not block the gate.', 'Cascade River Road is closed for the winter season at milepost 18 (NPS boundary), five miles before the trailhead. ', 'For closures due to fire activity visit the Fire Closures page, including trail, area, and camp closures for current and post fire conditions.  ', 'Prevent smashed windows and theft. Break-ins are not uncommon at trailheads along State Route 20. Remove your valuables and electronics and take associated electronic cords.', 'Due to silt accumulation, the Diablo Lake boat launch at Colonial Creek South Campground is not usable for launching most powerboats. Expect shallow or no water at the launch ramp and the possibility of needing to carry your boat to or from the water.  ']",2,5,1
Lake Clark,National Park & Preserve,AK,AKR,LACL,2.0,https://www.nps.gov/LACL/planyourvisit/conditions.htm,[],[],[],0,0,0
Lake Mead National Recreation Area,Lake Mead National Recreation Area,NV,PW,LAKE,,https://www.nps.gov/LAKE/planyourvisit/conditions.htm,"['Park Closure', 'Information']","['Launch Ramp Conditions', 'Lake Mead NRA has transitioned to a cashless fee collection system', 'Helicopters conducting geotechnical assessments in the Las Vegas Wash area']","['Get the most current launch ramp and water elevation conditions\n', 'Lake Mead NRA has transitioned to a cashless fee collection system, accepting only electronic card payments for entrance, lake use, and campground fees. Entrance stations will continue to sell passes only with credit card. ', 'The Southern Nevada Water Authority will conduct geotechnical assessments in the lower wash of Las Vegas Wash beginning 1/8/2024. Due to the inaccessible locations, drill equipment will be airlifted by helicopter and may cause noise disruption.']",2,3,0
Lake Mead,National Recreation Area,"AZ,NV",PWR,LAME,1.0,https://www.nps.gov/LAME/planyourvisit/conditions.htm,"['Park Closure', 'Information']","['Launch Ramp Conditions', 'Lake Mead NRA has transitioned to a cashless fee collection system', 'Helicopters conducting geotechnical assessments in the Las Vegas Wash area']","['Get the most current launch ramp and water elevation conditions\n', 'Lake Mead NRA has transitioned to a cashless fee collection system, accepting only electronic card payments for entrance, lake use, and campground fees. Entrance stations will continue to sell passes only with credit card. ', 'The Southern Nevada Water Authority will conduct geotechnical assessments in the lower wash of Las Vegas Wash beginning 1/8/2024. Due to the inaccessible locations, drill equipment will be airlifted by helicopter and may cause noise disruption.']",2,3,0
Lake Meredith,National Recreation Area,TX,IMR,LAMR,1.0,https://www.nps.gov/LAMR/planyourvisit/conditions.htm,"['Danger', 'Park Closure', 'Caution', 'Information']","['Closure of Plum Creek', 'Closure of Blue West', 'Condition of Turkey Creek Trail', 'Application for Special Use Permit', 'Restroom Closure At Fritch Fortress']","['Because of an ongoing wildfire, Plum Creek is closed until further notice.', 'Due to ongoing road work Blue West is closed until further notice.', 'Turkey Creek Trail, located near the Harbor Bay Campground Area, is currently underwater in some parts. We are working on this issue.  An alternative hiking trail would be Fritch Fortress Trail. ', 'Beginning March 1, 2024, each applicant will be required to complete a new ""Application For Special Use Permit"" prior to any new permit being issued', 'The restrooms are now closed for the season at Fritch Fortress Camprounds.  Restrooms at Sanford Yake Campgrounds will remain open as well as the vault-evaporator toilets around the park. \n']",4,5,1
Lake Roosevelt,National Recreation Area,WA,PWR,LARO,1.0,https://www.nps.gov/LARO/planyourvisit/conditions.htm,"['Park Closure', 'Information', '', '', '']","['Hawk Creek Lane Restriction at Lake Roosevelt National Recreation Area', 'Extended Fish Cleaning Station Closure', 'Public Review and Comment Period for Seven Bays Marina Rehabilitation Environmental Assessment', 'Winter Services Information']","['Due to undercutting action of Hawk Creek on the access road between the Hawk Creek campground and boat launch, the road will be reduced to one lane until further notice. Use caution while on this road.', 'Park fish cleaning stations will remain closed while the NPS researches and tests better alternatives. This closure includes the restroom facility located at the Fort Spokane boat launch.', 'The National Park Service at Lake Roosevelt National Recreation Area announces the public comment period for the Seven Bays Marina Rehabilitation Environmental Assessment (EA) will open on February 9, 2024. ', 'Lake Roosevelt National Recreation Area invites you to come and enjoy the great outdoors. With reduced staffing and resources during the winter season, the facilities open and available for your use are limited. ']",5,4,0
Lassen Volcanic,National Park,CA,PWR,LAVO,1.0,https://www.nps.gov/LAVO/planyourvisit/conditions.htm,"['Park Closure', 'Caution', 'Information', '']","['Lassen National Park Highway is CLOSED for the season', 'Emergency Closures in Burned Areas', 'Changing conditions', 'Be Aware of Burned Area Hazards', 'Wilderness Permits Now Only Available Online']","['Date Posted: 12/5/2023', 'Closures are in place for some facilities, infrastructure, and areas affected by the 2021 Dixie Fire. Please adhere to all closures indicated by CLOSED signs or described in emergency closure notices.', 'Inclement weather may cause unexpected delays, closures and possibly hazardous road conditions. The visitor center phone line may be unavailable. ', 'Numerous hazards exist in areas affected by the 2021 Dixie Fire. Be prepared for falling/fallen trees or limbs, loose/falling rock, undefined/unmarked trails, and hidden stump holes. Click more to learn about burned area safety.', 'Wilderness permits for backcountry camping can no longer be obtained in person or by mail. Wilderness permits are only available online through Recreation.gov. Permits can be reserved up to a maximum of 90 days prior to the start date.']",4,5,0
Lewis and Clark National Historic Trail,Lewis and Clark National Historic Trail,NE,MW,LECL,,https://www.nps.gov/LECL/planyourvisit/conditions.htm,[],[],[],0,0,0
Lewis and Clark,National Historical Park,OR,PWR,LEWI,1.0,https://www.nps.gov/LEWI/planyourvisit/conditions.htm,['Information'],['Winter storms and trail damage'],"['With winter wind storms coming and going, tree and trail damage will be fixed as weather and staffing allows. If there is a tree down or trail damage please report it to the visitor center with exact location of the damage. ']",1,1,0
Little Bighorn Battlefield,National Monument,MT,IMR,LIBI,1.0,https://www.nps.gov/LIBI/planyourvisit/conditions.htm,[''],[],[],1,0,0
Lincoln Boyhood,National Memorial,IN,MWR,LIBO,1.0,https://www.nps.gov/LIBO/planyourvisit/conditions.htm,[],[],[],0,0,0
Lincoln Home,National Historic Site,IL,MWR,LIHO,1.0,https://www.nps.gov/LIHO/planyourvisit/conditions.htm,['Information'],['New Hours Starting January 2'],"['Starting January 2, 2024, the Lincoln Home Visitor Center will be open from 9:00 AM - 5:00 PM. ']",1,1,0
Lincoln,Memorial,DC,NCR,LINC,1.0,https://www.nps.gov/LINC/planyourvisit/conditions.htm,[],[],[],0,0,0
Little River Canyon,National Preserve,AL,SER,LIRI,1.0,https://www.nps.gov/LIRI/planyourvisit/conditions.htm,"['Danger', 'Park Closure']","['SEASONAL SAFETY MESSAGE', 'Slant Rock Road Closed to Vehicular Traffic']","[""Be careful and safe while out in the canyon! Be cautious of your surroundings, don't cliff jump, don't stray off of the main trails, and don't get too close to Little River Falls or the canyon rim. These activities could result in injury or death. "", 'Due to washout and bad road conditions Slant Rock Road has been closed to all traffic aside from hikers and bikers. To access Slant Rock, park your vehicle at the hunting inspection station off of Road 103.']",2,2,1
Lower Delaware,National Scenic River,"PA, NJ",,LODE,,https://www.nps.gov/LODE/planyourvisit/conditions.htm,[],[],[],0,0,0
Longfellow,National Historic Site,MA,NER,LONG,1.0,https://www.nps.gov/LONG/planyourvisit/conditions.htm,"['Information', '']",['Preservation Work on Buildings and Grounds'],['Work is underway to repair the roofs and enhance the water-shedding systems on both the Longfellow house and carriage house and to complete tree work. Temporary detours and path closures may be in place for visitor safety.'],2,1,0
Lower Saint Croix National Scenic Riverway,Lower Saint Croix National Scenic Riverway,WI,MW,LOSA,,https://www.nps.gov/LOSA/planyourvisit/conditions.htm,[],[],[],0,0,0
Lowell,National Historical Park,MA,NER,LOWE,1.0,https://www.nps.gov/LOWE/planyourvisit/conditions.htm,[''],[],[],1,0,0
Lyndon Baines Johnson Memorial Grove on the Potomac,National Memorial,VA,NCR,LYBA,1.0,https://www.nps.gov/LYBA/planyourvisit/conditions.htm,[],[],[],0,0,0
Lyndon B Johnson,National Historical Park,TX,IMR,LYJO,1.0,https://www.nps.gov/LYJO/planyourvisit/conditions.htm,['Park Closure'],"['Texas White House Complex Closure ', 'Bathrooms at Birthplace Closed Until Further Notice']","['On January 2, 2024 the Texas White House Complex closed so the construction phase of the Texas White House rehabilitation can begin. The LBJ Ranch driving tour remains open. Visitors can still see the school, cemetery, birthplace and showbarn. ', 'The Reconstructed Birthplace bathrooms on the LBJ Ranch are closed until further notice. Portable toilets are available at the Cemetery, and pit toilets are located behind the Junction School. Bathrooms with running water can be found at LBJ State Park. ']",1,2,0
Mary McLeod Bethune Council House National Historic Site,Mary McLeod Bethune Council House National Historic Site,DC,NC,MABE,,https://www.nps.gov/MABE/planyourvisit/conditions.htm,[],[],[],0,0,0
Marsh - Billings - Rockefeller,National Historical Park,VT,NER,MABI,1.0,https://www.nps.gov/MABI/planyourvisit/conditions.htm,['Information'],"['Marsh-Billings-Rockefeller National Historical Park is Cashless', 'Select Trails Require Day Use Pass from Woodstock Inn & Resort Nordic Center']","['Tours may be purchased online (recreation.gov) or in person with a credit or debit card only. Cash transactions are not available at the park. ', 'Four miles of trail along the carriage road corridors have been designated as ‘Multi-Use Trails’ in winter – walkers are permitted to use these trails free of charge. All other trails require a day/season pass from the Woodstock Inn. See link for details.']",1,2,0
Mammoth Cave,National Park,KY,SER,MACA,1.0,https://www.nps.gov/MACA/planyourvisit/conditions.htm,"['Park Closure', 'Information', '']","[""Sloan's Crossing Pond Trail Closed for Rehabilitation"", 'Tickets are required to enter Mammoth Cave', 'Green River Ferry Status']","['The Sloan’s Crossing Pond Walk trail and picnic area is closed for rehabilitation of the wooden boardwalk that circles the pond. The Mammoth Cave Railroad Hike and Bike Trail remains open through this area.', 'Reservations are strongly recommended. Reservations are the only way to ensure a spot is available for your party. Please plan accordingly by visiting Recreation.gov to secure your tickets in advance. Availability of walk-up tickets is not guaranteed.', 'The Green River Ferry Status can change without advanced warning. For the most up-to-date ferry status information please call the Green River Ferry Hotline at (270) 758-2166 or follow the Mammoth Cave Roads and Ferry Twitter feed. 2 vehicle limit.']",3,3,1
National Mall,National Mall,DC,NC,MALL,,https://www.nps.gov/MALL/planyourvisit/conditions.htm,['Information'],['Washington Monument and Old Post Office Tower are closed for maintenance one day each month'],"['Scheduled closures for 2024: Wed., January 3; Thurs., February 1; Mon., March 4; Mon., April 1; Wed., May 1; Tues., June 4; Tues., July 9; Thurs., August 1; Wed., Sept. 4; Tues, Oct. 1; Wed., November 6; Thurs., December 5. Also closed July 4 and Dec. 25.']",1,1,0
Martin Luther King Jr,National Historic Site,GA,SER,MALU,1.0,https://www.nps.gov/MALU/planyourvisit/conditions.htm,['Information'],"['Birth Home Temporarily Closed For Repairs', 'LIVE Virtual Group Tours']","['The birth home of Martin Luther King, Jr. is temporarily closed for repairs. We apologize for any inconvenience this may cause. All other buildings at the Martin Luther King, Jr. National Historical Park remain open during regular park operating hours. ', 'Park Rangers will provide live VIRTUAL tours to organized groups.  Please email the Chief of the Interpretation, Marty Smith, at marty_smith@nps.gov to schedule a tour for your group.']",1,2,0
Mary McLeod Bethune Council House,National Historic Site,DC,NCR,MAMC,1.0,https://www.nps.gov/MAMC/planyourvisit/conditions.htm,[],[],[],0,0,0
Manassas,National Battlefield Park,VA,NCR,MANA,1.0,https://www.nps.gov/MANA/planyourvisit/conditions.htm,"['Park Closure', 'Information', '']","['First Manassas Trail Pedestrian Bridge Closed', 'Temporary Nighttime Closures for Deer Management', 'Spring Tour Offerings Change']","['Date Posted: 11/7/2023', 'Date Posted: 1/2/2024', 'Date Posted: 1/25/2024']",3,3,0
Manzanar,National Historic Site,CA,PWR,MANZ,1.0,https://www.nps.gov/MANZ/planyourvisit/conditions.htm,['Information'],['COVID-19 Mask Requirements'],"['Manzanar National Historic Site is located in Inyo County, CA.  Check the CDC COVID-19 Hospital Admission Levels tool to learn of masking and safety requirements for your visit.']",1,1,0
Manhattan Project National Historical Park,Manhattan Project National Historical Park,NM,IM,MAPR,,https://www.nps.gov/MAPR/planyourvisit/conditions.htm,[],[],[],0,0,0
Martin Van Buren,National Historic Site,NY,NER,MAVA,1.0,https://www.nps.gov/MAVA/planyourvisit/conditions.htm,"['Information', '']","[""Martin Van Buren NHS's Lindenwald and visitor center are closed for the season ""]",['Date Posted: 11/5/2023'],2,1,0
Maggie L Walker,National Historic Site,VA,NER,MAWA,1.0,https://www.nps.gov/MAWA/planyourvisit/conditions.htm,"['Information', '']",['Reservations No Longer Needed for House Tours'],"['We are no longer taking reservations for house tours unless you have a group of 10 or more people.  Daily tours will be offered on a first-come, first-served basis with a max of 10 people / tour.  ']",2,1,0
Mesa Verde,National Park,CO,IMR,MEVE,1.0,https://www.nps.gov/MEVE/planyourvisit/conditions.htm,"['Caution', 'Information']","['Winter Weather - Road Conditions', 'Mesa Verde Closures', 'Drone Use Prohibited ']","['Throughout the winter, Mesa Verde National Park\'s main road can close due to snow, ice, or blizzard conditions. To see most recent closures and road conditions, please visit our Facebook page for more information! Click ""more"" to head there now.', 'While much of the park is open, Mesa Verde has several safety and project-related closures in place, including the Wetherill Mesa Road and Spruce Tree House. Follow the link for more information.', 'The launching, landing, and operation of drones is prohibited on all lands and waters administered by the National Park Service. Drones negatively impact other visitors and wildlife and interfere with fire fighting and other emergency operations.']",2,3,0
Minidoka,National Historic Site,ID,PWR,MIIN,1.0,https://www.nps.gov/MIIN/planyourvisit/conditions.htm,[],[],[],0,0,0
Minute Man,National Historical Park,MA,NER,MIMA,1.0,https://www.nps.gov/MIMA/planyourvisit/conditions.htm,"['Park Closure', '']",['Trail Closures on Battle Road Trail'],['Battle Road Trail between Olive Stow Boardwalk to Shadyside Avenue and Lexington Road is closed until late Spring 2024. This will allow for the completion of a trail re-route. Entering closures is prohibited. Please plan accordingly.\n'],2,1,1
Minuteman Missile,National Historic Site,SD,MWR,MIMI,1.0,https://www.nps.gov/MIMI/planyourvisit/conditions.htm,"['Park Closure', 'Caution', 'Information', '']","['Delta-01 Tours Closed', 'Warning about GPS Systems!', 'Delta-01 Tour Fee and Reservations', 'Change to Summer Operating Hours']","['Due to mechanical issues and repairs, Delta-01 tours are closed through March 16th. ', 'Vehicle Navigation Systems and GPS units may provide inaccurate information—sending drivers the wrong way on one-way roads, leading them to dead ends in remote areas, or sending them on roads which are impassable. Use the Interstate exits for wayfinding.', 'All Delta-01 Launch Control Facility Tours require advanced reservations. Reservations can be made up to 90 days in advance on-line or by phone at 605-717-7629. No SAME-DAY tours available during the summer season. \n', '***Please Be Aware***\nThe park will NOT be changing days of operation. The park will be open Tuesday-Saturday through the summer and winter seasons.  ']",4,4,0
Mississippi,National River & Recreation Area,MN,MWR,MISS,1.0,https://www.nps.gov/MISS/planyourvisit/conditions.htm,[''],[],[],1,0,0
"Martin Luther King, Jr.",Memorial,DC,NCR,MLKM,1.0,https://www.nps.gov/MLKM/planyourvisit/conditions.htm,[],[],[],0,0,0
Missouri,National Recreational River,SD,MWR,MNRR,1.0,https://www.nps.gov/MNRR/planyourvisit/conditions.htm,['Information'],['Visitor Contact Station Open '],['Date Posted: 3/9/2022'],1,1,0
Montezuma Castle,National Monument,AZ,IMR,MOCA,1.0,https://www.nps.gov/MOCA/planyourvisit/conditions.htm,['Information'],"['Park will NO LONGER Accept Cash - Debit and CC ONLY', 'HEAT ADVISORY - Be sure to Carry Plenty of Water!', 'Masks are currently NOT REQUIRED when visiting Montezuma Castle National Monument']","['Starting March 1st, Montezuma Castle and Tuzigoot National Monuments will no longer accept cash for entrance fees. The parks will only accept debit and credit cards. The parks ask all visitors to plan accordingly. See Press release for more information. ', 'The park wishes to advise all visitors to carry plenty of water for themselves (1 quart per person) and any pets as well.', 'Requirements are dependent upon Community Level and based on data provided by the Centers for Disease Control & Prevention (CDC) for counties where the park is located. Yavapai County is currently LOW and Masks are NOT REQUIRED inside Federal Buildings.']",1,3,0
Moores Creek,National Battlefield,NC,SER,MOCR,1.0,https://www.nps.gov/MOCR/planyourvisit/conditions.htm,"['Information', '']",['Be Prepared for your Visit'],"['Before hiking at Moores Creek, make sure to bring all your necessary medications, sunscreen, bottled water for hikes, loose fitting clothes for hiking, and any other items you may need.']",2,1,0
Mojave,National Preserve,CA,PWR,MOJA,1.0,https://www.nps.gov/MOJA/planyourvisit/conditions.htm,"['Danger', 'Park Closure', 'Caution', 'Alert Locations', '']","['Inaccurate Third Party Apps', 'Cima Road between Cima and Interstate 15 CLOSED Until March 2024', 'Kelso Depot Main Restrooms Closed - No Water Available - Temporary Restrooms May be Available. ', 'Mojave Road CLOSED on Soda Lake Crossing', 'Kelabker Road and National Trails Hwy CLOSED between I-40 and Amboy, CA in San Bernardino County', 'Possible Delays up to 1 hour are possible at Kelbaker Road Railroad Crossing near Kelso Depot', 'Road Construction']","['Date Posted: 12/1/2023', 'Cima Road between Kelso Cima Road in Cima and Interstate 15 along the north preserve boundary is CLOSED to all vehicles. Please do not drive around barricades, or cross this active construction zone in the Cima Dome area. ', 'The main restrooms at Kelso Depot are closed. Temporary restrooms may be available in the depot parking lot. Additional restroom facilities: Kelso Dunes, Baker, and Primm, NV. No water available at Kelso - Water available at Hole in the Wall area.', 'Recent wet and rainy weather has created unsafe conditions on the surface of the Soda Lake area of the Mojave Road. Vehicles may become stuck, resulting in resource damage and high recover costs. Use Rasor Rd, Interstate-15, and Kelbaker Rd. as detour. ', 'Mojave NP Travelers going to or traveling from the south in the Twentynine Palms and Joshua Tree region are affected bridge repair projects Between Amboy, CA and Interstate 40. Detour via National Trails Highway west of Amboy to I-40 at Ludlow. ', 'In the event there are train siding operations at the crossing near Kelso Depot, delays may be up to one hour. Please plan accordingly for this possibility with extra fuel and drinking water.', 'Date Posted: 2/23/2024']",5,7,1
Monocacy,National Battlefield,MD,NCR,MONO,1.0,https://www.nps.gov/MONO/planyourvisit/conditions.htm,['Park Closure'],['Temporary Nighttime Closures for Deer Management'],['Date Posted: 1/2/2024'],1,1,0
Mount Rainier,National Park,WA,PWR,MORA,1.0,https://www.nps.gov/MORA/planyourvisit/conditions.htm,"['Park Closure', 'Caution']","['All park roads except the road to Longmire/Paradise are closed for the winter season.', 'Paradise Sledding Area is closed for the 2024 season. ', 'Paradise Road Status for 02/27/24: Closed', 'All vehicles are required to carry tire chains Nov 1 - May 1 when traveling in the park.']","['Except for the Longmire/Paradise road in the southwest side of the park, all park roads are closed for the winter season, including SR410/Chinook Pass, SR123/Cayuse Pass, White River, Sunrise, Mowich Lake, Stevens Canyon, and Westside Roads.', 'The sledding area will not open this year due to limited staffing. The official Paradise Sledding Area is the safest and only location that sledding is permitted in Mount Rainier National Park. ', 'The gate to Paradise at Longmire is closed on Tuesdays & Wednesdays. Check back on Wed afternoon for expected status for the following Thursday. All vehicles, including 4WD and AWD, are required to carry tire chains Nov 1 - May 1.', 'All vehicles, including 4WD and AWD vehicles, must carry tire chains in the park during the winter season (November 1 - May 1) and be prepared to use them when tire chain requirements are posted. ']",2,4,1
Morristown,National Historical Park,NJ,NER,MORR,1.0,https://www.nps.gov/MORR/planyourvisit/conditions.htm,"['Park Closure', 'Caution', 'Information', '']","['Ford Mansion and Wick House closed until further notice', 'Museum elevator out of order', 'Passaic River Trail Bridge washed out', 'Park grounds open 8 am to 6 pm', 'Park Museum and Visitor Center Reopened', 'Morristown road closures beginning 29 February']","['The Ford Mansion and Wick House are closed until sometime in late spring 2024 due to conservation and renovation work. For more information, see the news release on this website. ', ""The Washington's Headquarters Museum elevator is out of order until further notice."", ""Tropical Storm Ida washed out the Passaic River bridge on the Patriot's Path Trail south of Tempe Wick Road. This area is a known habitat of the endangered wood turtle, so do not wade, walk, or let your dog run in the river at this location."", 'Park grounds are now open 8 am to 6 pm.  The Western Avenue entrance gate to Jockey Hollow will close at approximately 5:30 pm.', ""The Washington's Headquarters Museum and Jockey Hollow Visitor Center have resumed their normal schedule---Thursday-Sunday 10 am to 4 pm.  The buildings will also be open on Presidents Day (Monday, February 19) "", 'On 2/29 Eastbound Morris St. will be closed down to one lane starting at Ridgedale Ave for about 140 days.  Westbound Morris St will closed to all traffic starting at the intersection of Ford Ave and Taft Lane.  Please plan alternate routes.']",4,6,1
Mount Rushmore,National Memorial,SD,MWR,MORU,1.0,https://www.nps.gov/MORU/planyourvisit/conditions.htm,"['Information', '']",['Highway 244 Closed to Through Traffic'],['Highway 244 will be closed to through traffic from 10/2/23 through no later than 5/3/24. Access to Mt. Rushmore will remain open via U.S. Highway 16A and Highway 244 from the east. A detour will be installed around the project along U.S.'],2,1,0
Muir Woods,National Monument,CA,PWR,MUWO,1.0,https://www.nps.gov/MUWO/planyourvisit/conditions.htm,"['Caution', 'Information']","['Auto-Theft Warning - Only Bring What You Need to the Park', 'Parking & Shuttle Reservations Always Required - See ""Know Before You Go"" for Details', 'No Cell Service or WiFi', 'Mount Tamalpais State Park - Trail Conditions', 'The Dipsea Footbridge is Out for Winter']","['You can prevent vehicle break-ins in parking lots and scenic overlooks. Before leaving your car for even a short period of time: 1) Remove all valuables, 2) Lock your doors. 3) Take your cell phones and electronics with you. Read article for more details.', 'Reservations are required for all personal vehicles and shuttle riders at Muir Woods. You can make your reservation by visiting www.gomuirwoods.com. Visit our ""Know Before You Go"" webpage to learn more important details before your visit. ', 'We do not recommend taking a rideshare or taxi to Muir Woods. There is NO cell service or wifi at Muir Woods. When hiring a taxi visitors have the option of negotiating a flat rate, or using the meter. Under some circumstances a flat rate may be cheaper. ', 'Many trails in Muir Woods connect to trails in Mount Tamalpais State Park. For up-to-date information about trail conditions within State Park boundaries, check the Mount Tamalpais State Park Info page (click more) and scroll down to Trail Updates. ', 'The Dipsea footbridge is out for the winter as rain returns to Redwood Creek. Deer Park Fire Rd and Muir Woods Rd add a mile detour to reconnect with the Dipsea Trail. These extra steps protect you and endangered coho salmon habitat. ']",2,5,0
Natural Bridges,National Monument,UT,IMR,NABR,1.0,https://www.nps.gov/NABR/planyourvisit/conditions.htm,[],[],[],0,0,0
National Capital Parks,National Capital Parks,DC,NC,NACA,,https://www.nps.gov/NACA/planyourvisit/conditions.htm,[],[],[],0,0,0
National Mall & Memorial Parks,,DC,NCR,NACC,1.0,https://www.nps.gov/NACC/planyourvisit/conditions.htm,['Information'],['Washington Monument and Old Post Office Tower are closed for maintenance one day each month'],"['Scheduled closures for 2024: Wed., January 3; Thurs., February 1; Mon., March 4; Mon., April 1; Wed., May 1; Tues., June 4; Tues., July 9; Thurs., August 1; Wed., Sept. 4; Tues, Oct. 1; Wed., November 6; Thurs., December 5. Also closed July 4 and Dec. 25.']",1,1,0
National Mall,,DC,NCR,NAMA,1.0,https://www.nps.gov/NAMA/planyourvisit/conditions.htm,['Information'],['Washington Monument and Old Post Office Tower are closed for maintenance one day each month'],"['Scheduled closures for 2024: Wed., January 3; Thurs., February 1; Mon., March 4; Mon., April 1; Wed., May 1; Tues., June 4; Tues., July 9; Thurs., August 1; Wed., Sept. 4; Tues, Oct. 1; Wed., November 6; Thurs., December 5. Also closed July 4 and Dec. 25.']",1,1,0
Natchez,National Historical Park,MS,SER,NATC,1.0,https://www.nps.gov/NATC/planyourvisit/conditions.htm,['Information'],"['Natchez Visitor Center Closed', 'Melrose Mansion Guided Tours', 'William Johnson House Reopens!', 'Face masks are now optional']","['Date Posted: 9/7/2023', 'Reservations for guided tours of the mansion must be made on Recreation.gov. The tour is $11.00 and are at 9, 10, 11, 2, 3, and 4; masks are optional. The estate is open daily from 8:30 a.m. to 5:00 p.m. The grounds and outbuildings are free. ', 'The first floor exhibit hall of the William Johnson House re-opened to the public on Sept. 1.  The second floor family living quarters remain closed at this time. ', 'Date Posted: 3/7/2022']",1,4,0
Natchez Trace,Parkway,"AL,MS,TN",SER,NATR,2.0,https://www.nps.gov/NATR/planyourvisit/conditions.htm,"['Information', '', '', '', '', '']",['Mount Locust Grounds Open intermittently '],"['Due to storm damage the visitor center and restrooms are closed.  The grounds, and historic inn and stand will be open intermittently throughout the winter.']",6,1,0
