Park Alpha,Status,park alpha,park,State,region,title,description,category,relatedRoadEvents,date,Park Name,Park Full Name,Type of Unit,Reg,Column Labels
WHSA,Only using alerts,WHSA,,NM,,"['Dunes Drive Safety Corridor', 'Park Closures', 'RV and Tractor Trailer Parking at the Visitor Center']","['Dunes Drive is open. A safety corridor is in effect between mile marker 3 and 5.5 along Dunes Drive. Visitors may not stop or exit their vehicle in this area. Area south of dunes drive closed to all traffic.', 'From time to time the missile range that surrounds the park performs military testing that may require the closure of the park or Highway 70. Please plan your visit around upcoming military tests.', 'There is limited space for parking for recreational vehicles and trailers in the parking lot directly in front (south) of the visitor center. RVs are asked to not park in the lot behind the visitor center. There is no parking space for tractor trailers.']","['Park Closure', 'Information', 'Information']","[[], [], []]",2024-06-17,White Sands,White Sands National Park,National Monument,IMR,
ROCR,Only using alerts,ROCR,,DC,,"[""Bridge to Thompson's Boat Center is closed""]","[""The bridge between the parking lot and Thompson's Boat Center in Georgetown is closed to all vehicles. The bridge's sidewalk is open to pedestrians.""]",['Park Closure'],[[]],2024-06-17,Rock Creek,Rock Creek Park,Park,NCR,
BRCA,Only using alerts,BRCA,,UT,,['Main Road Status'],['The main park road is fully open to Rainbow Point (Mile 18 of 18). All park roads are currently open for the season. During snowstorms the road may temporarily close at Mile 3 for snowplow operations.'],['Information'],[[]],2024-06-17,Bryce Canyon,Bryce Canyon National Park,National Park,IMR,
SAMO,Only using alerts,SAMO,,CA,,['Franklin Canyon Park is Open.'],['Franklin Canyon Park is open at the north (Mulholland) entrance to pedestrian and bicycle access only. No vehicular access until further notice due to hazardous conditions. South entrance is open to vehicles. No through traffic.'],['Information'],[[]],2024-06-17,Santa Monica Mountains,Santa Monica Mountains National Recreation Area,National Recreation Area,PWR,
MOCA,Only using alerts,MOCA,,AZ,,['Fire Restrictions in Place - NO Smoking'],"['Fire restrictions are in place at Montezuma Castle National Monument and its Sub-Unit Montezuma Well. Smoking is prohibited, including Electronic Nicotine Delivery Systems (E.N.D.S.), except when inside a personal vehicle.']",['Caution'],[[]],2024-06-17,Montezuma Castle,Montezuma Castle National Monument,National Monument,IMR,
AMCH,Only using alerts,AMCH,,CO,,['Road Damage'],"['Due to damage from heavy rains, some roads may require high clearance or 4x4 vehicles for passage. Please use caution when approaching and driving on roadways. Trailers over 30 ft not advised.']",['Caution'],[[]],2024-06-17,Amache,Amache National Historic Site,National Historic Site,IMR,
SLBE,Only using alerts,SLBE,,MI,,['Pavement Preservation'],['A rolling closure of Lakeshore parking lots and roads will occur in May and June for pavement preservation and resurfacing.'],['Information'],[[]],2024-06-17,Sleeping Bear Dunes,Sleeping Bear Dunes National Lakeshore,National Lakeshore,MWR,
ARCH,Only using alerts,ARCH,,UT,,"['Road repairs may occur 4/29 to 8/1; brief delays & some closures expected', 'Seasonal climbing closures in effect']","[""Crews will perform crack sealing and similar minor repairs on Arches' paved park road this summer. Visitors may encounter brief delays and reduced availability in or limited closures of some parking lots."", 'All climbers should ensure routes are not subject to wildlife seasonal closures. Many closures start March 1 or April 1 and continue through spring and summer.']","['Information', 'Information']","[[], []]",2024-06-17,Arches,Arches National Park,National Park,IMR,
DENA,Only using alerts,DENA,,AK,,"['Denali Park Road Information', 'Park Operations Altered Due to Pretty Rocks Landslide']","['The Denali Park Road is open to Mile 15 (Savage River) for personal vehicles. Vehicle travel beyond Savage River in summer is mainly limited to transit and tour buses.', 'Summer access to facilities and services in Denali remains altered due to the Pretty Rocks Landslide and the associated closure of the Park Road at Mile 43. Check here for more information on what to expect.']","['Information', 'Park Closure']","[[], []]",2024-06-17,Denali,Denali National Park and Preserve,National Park & Preserve,AKR,
VOYA,Only using alerts,VOYA,,MN,,['Salmi Road Entrance to the Kab-Ash Trail out of the Kabetogama Community Remains Temporarily Closed.'],"[""Salmi Road entrance to the Kab-Ash Trail remains temporarily closed at the trail's western most terminus. Access to the trail remains open at trailheads along Ash River Trail road, Meadwood Road, and the eastern terminus within the community of Ash River.""]",['Park Closure'],[[]],2024-06-17,Voyageurs,Voyageurs National Park,National Park,MWR,
GRBA,Only using alerts,GRBA,,NV,,['Infrastructure Projects to Cause Closures and Disruptions'],"['Visitors should expect disruptions to their experience at the park this year due to a number of major infrastructure projects involving intermittent closures to campgrounds, roads, and trailheads, For more information, click ""More"" or call 775-234-7331.']",['Park Closure'],[[]],2024-06-17,Great Basin,Great Basin National Park,National Park,PWR,
CHIR,Only using alerts,CHIR,,AZ,,"['Visit Safely in the Summer', 'Highway Road Construction Outside Monument', 'Vehicle Length Limits']","['Summer season brings hot temperatures and monsoons. Bring water, snacks, and sun protection for your visit. Check weather conditions before hiking. Severe lighting and flash floods can occur. When driving in the area, avoid flooded roadways.', 'There will be construction on the four-mile section of highway outside of the park entrance until August 19, 2024. There may be periods of brief delay when entering or exiting the park.', ""Vehicles longer than 24 feet are not permitted past the visitor center on Bonita Canyon Drive. Vehicles up to 29 feet are still allowed to stay in the campground, but can't go further. Parking for large vehicles and trailers is available at Faraway Ranch.""]","['Caution', 'Information', 'Information']","[[], [], []]",2024-06-17,Chiricahua,Chiricahua National Monument,National Monument,IMR,
BICA,Only using alerts,BICA,,"MT,WY",,['Road Construction Delays April 1 to Mid-August 2024'],['Road construction in the park from April 1 to mid-August 2024. Weekly updates on construction activities and locations in the park will be posted on the Bighorn Canyon Facebook page. Visitors can also call 307-548-5406 for current conditions.'],['Information'],[[]],2024-06-17,Bighorn Canyon,Bighorn Canyon National Recreation Area,National Recreation Area,IMR,
BADL,Only using alerts,BADL,,SD,,['Navigation'],"['Do not rely on GPS digital navigation systems to find your way to Badlands National Park. Please note that the Visitor Center at 25216 Ben Reifel Road, Interior SD 57750 is located just off I-90.']",['Caution'],[[]],2024-06-17,Badlands,Badlands National Park,National Park,MWR,
BICY,Only using alerts,BICY,,FL,,['2024 Off Road Vehicle Closure Order'],"['All Off-Road Vehicle Trails will be temporarily closed for recreational access from Monday, June 3rd until Friday, August 2nd. Please click the link to view the official closure order.']",['Park Closure'],[[]],2024-06-17,Big Cypress,Big Cypress National Preserve,National Preserve,SER,
APPA,Only using alerts,APPA,,"CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV",,['CENTRAL VA – PARKING LOT CLOSURE– ROUTE 311/MCAFEE KNOB'],"['McAfee Knob/Route 311 parking area along the A.T. in Catawba will be closed Thursday, November 30. The lot is being closed to allow for the construction of a new pedestrian footbridge over Route 311.']",['Park Closure'],[[]],2024-06-17,Appalachian,Appalachian,National Scenic Trail,NER,
DEPO,Only using alerts,DEPO,,CA,,['Reds Meadow Road Access Restrictions in 2024'],"['Reds Meadow Road & shuttle service, which provide access to Devils Postpile, will be closed for construction from Sundays at 11 pm through Fridays at 9 am (except holidays) during the summer 2024 season. The road also closes Fridays starting September 15.']",['Park Closure'],[[]],2024-06-17,Devils Postpile,Devils Postpile National Monument,National Monument,PWR,
DESO,Only using alerts,DESO,,FL,,['Parking Lot and Surrounding Area CLosed for Construction July 8 through August 28.'],"[""The Park's parking lot, access road, and surrounding areas will be closed. All visitor access will be prohibited due to construction safety. Visitors will gain access to visitor center and trails through Riverview Point Preserve located next door.""]",['Caution'],"[[{'title': 'Parking Lot Construction', 'id': '660D3C26-0716-4081-808A-4A8D79BE0422', 'type': 'roadevent', 'url': 'https://www.nps.gov/deso/planyourvisit/conditions.htm'}]]",2024-06-17,De Soto,De Soto National Memorial,National Memorial,SER,
MORR,Only using alerts,MORR,,NJ,,"['Morristown road closures beginning 29 February', 'Passaic River Trail Bridge washed out']","['On 2/29 Eastbound Morris St. will be closed down to one lane starting at Ridgedale Ave for about 140 days. Westbound Morris St will closed to all traffic starting at the intersection of Ford Ave and Taft Lane. Please plan alternate routes.', ""Tropical Storm Ida washed out the Passaic River bridge on the Patriot's Path Trail south of Tempe Wick Road. This area is a known habitat of the endangered wood turtle, so do not wade, walk, or let your dog run in the river at this location.""]","['Information', 'Caution']","[[], []]",2024-06-17,Morristown,Morristown National Historical Park,National Historical Park,NER,
IATR,Only using alerts,IATR,,WI,,['Trail Conditions'],"['Trail conditions can vary throughout the state. Before heading out, check the trail conditions, potential re-routes and closures on the Ice Age Trail Alliance website.']",['Information'],[[]],2024-06-17,Ice Age,Ice Age National Scenic Trail,National Scenic Trail,MWR,
CEBR,Only using alerts,CEBR,,UT,,['Hiking trails inaccessible'],"['While visitors can drive through the park along State Route 148 and visit the overlooks, all hiking trails continue to be inaccessible due to snow levels.']",['Park Closure'],[[]],2024-06-17,Cedar Breaks,Cedar Breaks National Monument,National Monument,IMR,
COLM,Only using alerts,COLM,,CO,,['Resurfacing Rim Rock Drive'],['Project work runs from 4/2 - 8/5. There will be delays of up to 15 minutes and temporary road closures between DS Rd and Independence Monument View. Visit the project page for a full work schedule.'],['Caution'],[[]],2024-06-17,Colorado,Colorado National Monument,National Monument,IMR,
BIBE,Only using alerts,BIBE,,TX,,['Bringing a Pet to Big Bend?'],"['Bringing your pet to Big Bend National Park will limit some of your park explorations and opportunities. Pets are not allowed on park trails, in the backcountry, or on the river. Pets are allowed only where vehicles can go. Pets may not be left unattended']",['Information'],[[]],2024-06-17,Big Bend,Big Bend National Park,National Park,IMR,
FONE,Only using alerts,FONE,,PA,,['Portions of Braddock Road Trail Closed'],['Portions of the Braddock Road Trail at the Indian Run bridge are closed until a new foot bridge is constructed.'],['Information'],[[]],2024-06-17,Fort Necessity,Fort Necessity National Battlefield,National Battlefield,NER,
CUVA,Only using alerts,CUVA,,OH,,"['Towpath Trail north of Station Road Bridge Trailhead', 'Towpath Trail Temporary Closure']","['Full closure between Station Road Bridge Trailhead and Frazee House. Effective immediately due to a sink hole south of Frazee House.', 'Towpath Trail will be closed for repairs starting at Station Road and extending 2,500 feet north from 7 a.m. and 5 p.m, weekdays. No detour is provided. The anticipated opening date is late January. Towpath will remain open southbound from Station Road.']","['Park Closure', '']","[[], []]",2024-06-17,Cuyahoga Valley,Cuyahoga Valley National Park,National Park,MWR,
LAVO,Only using alerts,LAVO,,CA,,['Lassen National Park Highway is CLOSED'],['Lassen National Park Highway connecting the north and south park entrances is CLOSED to through traffic. Spring snow clearing operations are taking place. Vehicles can still access the northwest and the southwest entrances. Learn more.'],['Park Closure'],[[]],2024-06-17,Lassen Volcanic,Lassen Volcanic National Park,National Park,PWR,
PARA,Only using alerts,PARA,,AZ,,"['Arizona Off-Highway Vehicle (OHV) Requirements for Residents and Non-residents.', 'Looking for a Grand Canyon view? A warning about GPS navigation using mobile devices.']","['Off-highway vehicles (OHVs) are required by law to display a valid OHV decal to operate on public and state trust lands in Arizona. This includes “street legal” vehicles that meet these two requirements.', 'GPS apps on mobile devices may direct visitors to ""Grand Canyon-Parashant"" who type ""Grand Canyon"" into their driving directions. Roads across Parashant require 4-wheel drive and all-terrain tires. There are no visitor services or cell reception here.']","['Information', 'Caution']","[[], []]",2024-06-17,Grand Canyon-Parashant,Grand Canyon-Parashant National Monument,National Monument,IMR,
NOCA,Only using alerts,NOCA,,WA,,"['Hozomeen Gate Will Remain Closed', 'Cascade River Road Closed for the Winter Season', 'Be Aware of Break-ins along State Route 20']","['The gate at Hozomeen will remain closed to vehicle access from Canada. Winnebago Flats and the upper Hozomeen campgrounds will remain closed. For more information visit the news release on summer operations.', 'Cascade River Road is closed for the winter season at milepost 20 (El Dorado parking lot), three miles before the trailhead.', 'Prevent smashed windows and theft. Break-ins are not uncommon at trailheads along State Route 20. Remove your valuables and electronics and take associated electronic cords.']","['Park Closure', 'Park Closure', 'Caution']","[[], [], []]",2024-06-17,North Cascades,North Cascades National Park,National Park,PWR,
CACH,Only using alerts,CACH,,AZ,,"['Route 7 from Sawmill, AZ is NOT recommended']","['Entering the park from the east at Sawmill, AZ on Route 7 is not recommended. Part of this route is UNPAVED and UNMAINTAINED. Please stay on paved roads, such as Indian Route 64 from Tsaile, AZ and Highway 191/Route 7 from Chinle, AZ.']",['Information'],[[]],2024-06-17,Canyon De Chelly,Canyon de Chelly National Monument,National Monument,IMR,
FOWA,Only using alerts,FOWA,,MD,,['Service Road Closure'],['The Service Road/Trail from the Lighthouse parking lot toward the lighthouse and the road between the fort and visitor center hills are closed to due scheduled construction of the roadway. Please do not enter the area.'],['Park Closure'],[[]],2024-06-17,Fort Washington,Fort Washington Park,Park,NCR,
CARL,Only using alerts,CARL,,NC,,['Pedestrian Bridge at Front Lake is Closed'],"['The pedestrian bridge at the main entrance to the park is closed. A 6-passenger accessible shuttle runs daily every 20 minutes from 9:40 am to 4:20 pm, from the main parking lot, on Little River Road, to the Sandburg Home and farm area.']",['Caution'],[[]],2024-06-17,Carl Sandburg Home,Carl Sandburg Home National Historic Site,National Historic Site,SER,
CRMO,Only using alerts,CRMO,,ID,,['Navigation'],['Please do not rely upon GPS digital navigation systems to find your way to Craters of the Moon. Please note that the Visitor Center at 1266 Craters Loop Road is located just off U.S. Highway 20/26/93 and is not accessed via any unpaved roads.'],['Caution'],[[]],2024-06-17,Craters Of The Moon,Craters of the Moon National Monument and Preserve,National Monument & Preserve,PWR,
MUWO,Only using alerts,MUWO,,CA,,"['Auto-Theft Warning - Only Bring What You Need to the Park', 'Parking & Shuttle Reservations Always Required - See ""Know Before You Go"" for Details']","['You can prevent vehicle break-ins in parking lots and scenic overlooks. Before leaving your car for even a short period of time: 1) Remove all valuables, 2) Lock your doors. 3) Take your cell phones and electronics with you. Read article for more details.', 'Reservations are required for all personal vehicles and shuttle riders at Muir Woods. You can make your reservation by visiting www.gomuirwoods.com. Visit our ""Know Before You Go"" webpage to learn more important details before your visit.']","['Caution', 'Information']","[[], []]",2024-06-17,Muir Woods,Muir Woods National Monument,National Monument,PWR,
PETR,Only using alerts,PETR,,NM,,['Vehicle Break-Ins: Take precautions to secure your vehicle and valuables.'],"[""This is an urban park. Don't hide valuables inside your car. Carry items with you on hike. Lock your vehicle and set car alarm. Recent auto break-ins at Rinconada Canyon parking lot. Report suspicious persons loitering/peeking in cars. Call 928-638-7805""]",['Caution'],[[]],2024-06-17,Petroglyph,Petroglyph National Monument,National Monument,IMR,
THRO,Only using alerts,THRO,,ND,,"['Old East Entrance Station Parking Area', 'South Unit Road from the Old East Entrance station mile near marker 22 to mile marker 28']","['The Old East Entrance Station parking area will be temporarily closed to visitor traffic starting Monday, June 17th - Friday, June 28th. Coal Vein Road will be the temporary visitor/vehicle turn-around area.', 'Due to major road repair work, the former scenic loop between the Old East Entrance Station (near mile marker 22) and mile marker 28 is closed to all traffic, including pedestrian, and bicycle access.']","['Caution', 'Caution']","[[], []]",2024-06-17,Theodore Roosevelt,Theodore Roosevelt National Park,National Park,MWR,
LAMR,Only using alerts,LAMR,,TX,,['Road Construction at Sanford-Yake'],"['Roadwork at the Sanford-Yake area will begin on Monday, May 6, 2024. Expect delays.']",['Caution'],[[]],2024-06-17,Lake Meredith,Lake Meredith National Recreation Area,National Recreation Area,IMR,
GOGA,Only using alerts,GOGA,,CA,,"['Phleger Estate Miramontes Trail Closed for Public Safety January 2022 Until Trail is Replaced', 'Smith Road Trailhead Parking Lot Temporary Partial Closure April 8 - June 30, 2024', 'Auto-Theft Warning - Only Bring What You Need to the Park']","['Due to previous storm damage, the trail has been closed until the park can re-route it to a better location. Until construction of a re-route is complete, the trail will be closed.', 'Northwest portion of the parking lot off of Bunker Road in Marin Headlands will be temporarily closed. Stay out of the closure and park in the other parking spaces.', 'You can prevent vehicle break-ins in parking lots and scenic overlooks. Before leaving your car for even a short period of time: 1) Remove all valuables, 2) Lock your doors. 3) Take your cell phones and electronics with you. Read article for more details.']","['Information', 'Information', 'Caution']","[[], [], []]",2024-06-17,Golden Gate,Golden Gate National Recreation Area,National Recreation Area,PWR,
CUGA,Only using alerts,CUGA,,"KY, TN, VA",,['Trail Closure'],['Wilderness Road is closed from Tennessee Road Trail to the trail that leads up to Gap Cave for scheduled maintenance work.'],['Information'],[[]],2024-06-17,Cumberland Gap,Cumberland Gap National Historical Park,National Historical Park,SER,
EVER,Only using alerts,EVER,,FL,,"['LPK Campground Prescribed Fire Operations', 'Click on ""caution"" alerts below for important details on accessing the park', ""Road construction on approach to park's Homestead entrance"", 'Roadwork may cause delays on US 41/Tamiami Trail']","['Rx Fire Operations will be conducted within the Long Pine Key (LPK) Campground on Monday June 17, 2024. The LPK campground area will remain closed until operations are completed. Smoke may be present from Main Park Road.', 'Tamiami Trail and State Road 9336 both have ongoing construction which may cause minor delays. If you have a scheduled tour, please plan accordingly.', 'Roadwork is underway along State Road 9336 leading to the Homestead entrance of the park, approaching the Ernest F. Coe Visitor Center. Drivers may experience short delays and should watch for personnel, construction equipment, and slowdowns.', ""Current roadwork is ongoing along the park's northern boundary on US Highway 41/Tamiami Trail to raise the road for Everglades Restoration benefits. Drivers may experience up to 15-minute delays and should watch for personnel, equipment and slow downs.""]","['Park Closure', 'Park Closure', 'Caution', 'Caution']","[[], [], [], []]",2024-06-17,Everglades,Everglades National Park,National Park,SER,
ROCA,Only using alerts,ROCA,,ME,,['Roosevelt Campobello International Park is located in Welshpool.'],"['Campobello Island is located in the province of New Brunswick, Canada. The physical address for the Visitor Centre is: 459 Route 774 Welshpool, New Brunswick, Canada E5E 1A4']",['Information'],[[]],2024-06-17,Roosevelt Campobello,Roosevelt Campobello International Park,International Park,NER,
CONG,Only using alerts,CONG,,SC,,"['RVs, Trailers and Other Oversized Vehicles (Limited Parking)']","['Due to increased visitation, parking lots often fill up early. Visitors need to be aware that parking for larger vehicles is very limited. RVs using ""tow dollies"" may have to unhook towed vehicles in order to turn around in the parking lot on busy days.']",['Information'],[[]],2024-06-17,Congaree,Congaree National Park,National Park,SER,
HAFE,Only using alerts,HAFE,,WV,,['Maryland Heights Trail to CLOSE on or about 6/20-6/23/24'],['A geotechnical investigation to improve safety and ensure emergency vehicle access will require a full Maryland Heights trail closure lasting not more than four days. The dates of the work will be updated here as soon as more information is available.'],['Park Closure'],[[]],2024-06-17,Harpers Ferry,Harpers Ferry National Historical Park,National Historical Park,NCR,
CACO,Only using alerts,CACO,,MA,,['Snail Road Beach Access CLOSED'],"['Due to nesting shorebirds, the beach access at the end of Snail Road in Provincetown is temporarily closed to the public. Visitors may still walk the trail, but will need to turn around when they reach the closure.']",['Park Closure'],[[]],2024-06-17,Cape Cod,Cape Cod National Seashore,National Seashore,NER,
CUIS,Only using alerts,CUIS,,GA,,['South Cut trail Partially Closed'],['South Cut Trail is closed between the main road and Killman Field trail due to washout along the trail. Detour for that section is along Killman Field trail. South Cut trail from Killman Field trail to the beach is open.'],['Danger'],[[]],2024-06-17,Cumberland Island,Cumberland Island National Seashore,National Seashore,SER,
ZION,Only using alerts,ZION,,UT,,['Camp only in campgrounds'],"['If you camp in a vehicle in an area that is not a designated campground, you may get a citation. Learn more about opportunities to camp in Zion.']",['Information'],[[]],2024-06-17,Zion,Zion National Park,National Park,IMR,
TUZI,Only using alerts,TUZI,,AZ,,['Fire Restrictions in Place - NO Smoking'],"['Fire restrictions are in place at Tuzigoot National Monument. Smoking is prohibited, including Electronic Nicotine Delivery Systems (E.N.D.S.), except when inside a personal vehicle.']",['Caution'],[[]],2024-06-17,Tuzigoot,Tuzigoot National Monument,National Monument,IMR,
CAVO,Only using alerts,CAVO,,NM,,"['Volcano Road Closed to RVs and Buses over 26 feet, and to all Trailers.']","['The Volcano top road is not accessible to RVs, buses, attached trailers, or any other vehicle over 26 feet in length, due to the narrowness and weight limits of Volcano Road. Trailer drop off and RV/bus parking is available at the Visitor Center.']",['Park Closure'],[[]],2024-06-17,Capulin Volcano,Capulin Volcano National Monument,National Monument,IMR,
YORK,Only using alerts,YORK,,VA,,['Rehabilitation of Colonial Parkway continues with additional Parkway closures'],"['Beginning Tuesday, April 9, 2024, construction will close the Colonial Parkway to all travel in either direction between Yorktown and VA Route 199. Follow all detour signs. See additional closure information in the link below.']",['Park Closure'],[[]],2024-06-17,Yorktown,Yorktown Battlefield,Battlefield,NER,
CAVE,Only using alerts,CAVE,,NM,,"['High to Extreme Fire Danger: Prohibited Activities', 'Walnut Canyon Desert Drive Closed Due to Flood Damage']","['Due to high to extreme fire danger, the following are prohibited: fire, charcoal, and propane grills; smoking except inside personal vehicles; and open flames and cooking stoves in the backcountry. Carlsbad Cavern and the visitor center are open.', 'Recent flooding has caused major damage to the road. It is unknown when repairs will begin or the length of time to complete. The main park road to the visitor center and cavern is open. For updates on the road and trails, click ""More"" below.']","['Danger', 'Information']","[[], []]",2024-06-17,Carlsbad Caverns,Carlsbad Caverns National Park,National Park,IMR,
YELL,Only using alerts,YELL,,"ID,MT,WY",,"['Elk With Calves Are Extremely Dangerous', 'Vehicle Entrance Reservation Not Needed']","['Be alert, especially this time of year around Mammoth Hot Springs. Elk calves may be hidden close to buildings, under or next to vehicles, and around blind corners. You must remain at least 25 yards from all wildlife. If an elk charges, retreat!', 'Although an entrance pass is required to enter Yellowstone National Park, vehicle reservations are not needed. You are encouraged to purchase an entrance pass before arriving, but you may also purchase passes at any entrance station upon arrival.']","['Caution', 'Information']","[[], []]",2024-06-17,Yellowstone,Yellowstone National Park,National Park,IMR,
HALE,Only using alerts,HALE,,HI,,['Drive Cautiously - Endangered Birds on Roadway'],"['Nēnē (Hawaiian geese) and ʻuaʻu (Hawaiian petrel) are nesting in the park and may land on or frequent park roads, parking lots, and road leading up to the park. Drivers are reminded to drive at the posted speed limits and exercise caution.']",['Information'],[[]],2024-06-17,Haleakala,Haleakala National Park,National Park,PWR,
SEKI,Only using alerts,SEKI,,CA,,"['Mineral King Road Construction Closures', 'Highway 245 is Closed for Construction and Cannot Be Used to Reach or Leave the Grant Grove Area']","['Temporary daytime closures will be in place on June 25th-28th for road repairs. The Mineral King Road will be fully closed 7:30am-5:00pm with a one-hour travel window at 11:30am. Click more for details.', 'Highway 245 outside the parks is under construction by CalTrans. It is scheduled to be closed through June 30, 2024. It is not possible to reach or leave the Grant Grove area using Highway 245. Alternate routes are available.']","['Information', 'Information']","[[], []]",2024-06-17,Sequoia & Kings Canyon,Sequoia & Kings Canyon,National Parks,PWR,
DEWA,Only using alerts,DEWA,,PA,,"['Old Mine Road South Closed for Rehabilitation Project', 'Dingmans Falls Visitor Center is Closed to RVs, Buses, and Trailers on Weekends and Holidays.']","['Old Mine Road between Millbrook Village and Worthington State Forest is closed for a pavement rehabilitation project. No pedestrian, bicycle, or vehicle traffic is permitted in the closed area. Please see news releases for more information.', 'Due to the heavy volume of traffic and long wait times, the access road to Dingmans Falls Visitor Center is closed to recreational vehicles, buses, and trailers on both weekends and holidays.']","['Park Closure', 'Information']","[[], []]",2024-06-17,Delaware Water Gap,Delaware Water Gap National Recreation Area,National Recreation Area,NER,
PAGR,Only using alerts,PAGR,,NJ,,['Heavy Construction Vehicle Operations & Limited Amphitheater Accessibility'],['Heavy construction vehicles are operating through the parking lot & Lower Overlook Park - use caution & be vigilant for hazards. Lower Overlook & Amphitheater access is via stairs only for construction duration.'],['Danger'],[[]],2024-06-17,Paterson Great Falls,Paterson Great Falls National Historical Park,National Historical Park,NER,
ANJO,Only using alerts,ANJO,,TN,,['Notice to travelers to National Cemetery'],"['Due to the narrow roadway & tight turn, RVs, mobile homes, charter buses, delivery trucks, or vehicles with trailers are prohibited from the crest of Monument Hill. Check for information about parking at the Visitor Center upon your arrival.']",['Caution'],[[]],2024-06-17,Andrew Johnson,Andrew Johnson National Historic Site,National Historic Site,SER,
ALCA,Only using alerts,ALCA,,CA,,['Auto-Theft Warning - Only Bring What You Need to the Park'],"['You can help prevent vehicle break-ins in parking lots. Before leaving your car to catch the ferry: 1) Remove all valuables, 2) Lock your doors. 3) Take your cell phones and electronics with you. Read article for more details.']",['Caution'],[[]],2024-06-17,Alcatraz Island,Alcatraz Island,Island,PWR,
BAND,Only using alerts,BAND,,NM,,"[""Bandelier's Mandatory Shuttle Runs June 27-October 16, 2024"", 'The Use of GPS is NOT Recommended']","['Bandelier’s mandatory shuttle service begins on June 27 and will run to October 16. Visitors may drive their private vehicles directly to the Bandelier Visitor Center before 9 am or after 3 pm.', 'Numerous visitors have been routed to remote trailheads and out-of-the-way roads trying to use GPS to reach the main park area or shuttle stop.']","['Information', 'Caution']","[[], []]",2024-06-17,Bandelier,Bandelier National Monument,National Monument,IMR,
GRTE,Only using alerts,GRTE,,WY,,"['Grassy Lake Road Closure', 'Teton Pass Closure - Grand Teton Open']","['Grassy Lake Road remains closed due to winter conditions and is scheduled to reopen in mid-June. When open, it is unpaved, making it a difficult and slow route; high clearance and 4WD are recommended. Check link for current road status.', 'Teton Pass (WY 22) which links Victor, ID and Wilson/Jackson, WY is currently closed due to road failure. The closure is expected to last a few weeks as WYDOT constructs a detour. Grand Teton National Park is open. For more information at link below.']","['Park Closure', 'Caution']","[[], []]",2024-06-17,Grand Teton,Grand Teton National Park,National Park,IMR,
GWMP,Only using alerts,GWMP,,DC,,['Potomac Heritage National Trail Closed at Glebe Road for construction activities'],['The National Park Service is imposing a temporary closure of a portion of the Potomac Heritage National Trail crossing underneath Glebe Road Bridge during construction activities. This work is a subsect of the North Parkway rehabilitation.'],['Park Closure'],[[]],2024-06-17,George Washington,George Washington Memorial Parkway,Memorial Parkway,NCR,
MORU,Only using alerts,MORU,,SD,,['Highway Construction Impacting Travel to the Memorial'],['Numerous highway construction projects are occurring in the Black Hills and may impact trip planning to the Memorial. Please consult with South Dakota 511 to minimize delays or other inconveniences.'],['Information'],[[]],2024-06-17,Mount Rushmore,Mount Rushmore National Memorial,National Memorial,MWR,
DETO,Only using alerts,DETO,,WY,,"['US 212 Closed', 'Climbing Routes Closed for Nesting Falcons']","['US 212 will be closed to all non-local traffic between Crow Agency and Broadus from 6/17 to 6/21. Use alternate routes. All roads within Devils Tower National Monument remain open.', 'North Face climbing routes are closed. Closure effective May 30, 2024. Routes including and between Adrenaline Surfer and Daredevil Index are closed. Ask a rangers for more information and a list of closed routes.']","['Park Closure', 'Park Closure']","[[], []]",2024-06-17,Devils Tower,Devils Tower National Monument,National Monument,IMR,
FOMC,Only using alerts,FOMC,,MD,,['Motorized Recreational Scooters Not Permitted in Park'],"['For the safety and protection of visitors and park resources, motorized scooters are not permitted within the park. Any vehicles (scooters, bicycles, etc.) that are part of a ride-share program may not be left behind for pick up inside the park']",['Information'],[[]],2024-06-17,Fort McHenry,Fort McHenry National Monument and Historic Shrine,National Monument and Historic Shrine,NER,
WICR,Only using alerts,WICR,,MO,,['Occasional lane closures and traffic delays due to construction at Hwy ZZ & Farm Rd 182'],"[""Please be advised of potential delays or route obstructions to the Wilson's Creek National Battlefield Entrance from Hwy ZZ starting Monday, September 18th. Entering Wilson's Creek National Battlefield from Farm Road 182 via Battlefield may be faster.""]",['Information'],[[]],2024-06-17,Wilson's Creek,Wilson's Creek National Battlefield,National Battlefield,MWR,
